url,title,asin,price,brand,product_details,breadcrumbs,images_list,Outer Material,Inner Material,Sole,Closure,Heel Height,Heel Type,Shoe Width
https://www.amazon.co.uk/dp/B0972S2DPZ,Womens Rhinestones Dance Shoes Latin Tango Ballroom Practice Shoes Salsa Cha-cha Peep Toe T-bar Soft Sole,B0972S2DPZ,£28.00 - £36.50,SHUTUP.DANCE,"Product Dimensions: 
28.5 x 12 x 16 cm; 907.18 Grams


Date First Available: 
3 Aug. 2020


ASIN: 
B08L3FJ285


Department: 
Women's","['Shoes', ""Women's Shoes"", 'Fashion & Athletic Trainers', 'Sports & Outdoor Shoes', 'Dance Shoes']","https://m.media-amazon.com/images/I/51KJOgDuxhL.jpg, https://m.media-amazon.com/images/I/41pZKC3oQbL.jpg, https://m.media-amazon.com/images/I/41vX7b8DFlL.jpg, https://m.media-amazon.com/images/I/41-IG0v4L-L.jpg, https://m.media-amazon.com/images/I/41S8YhlEIpL.jpg, https://m.media-amazon.com/images/I/416vrRBmcVL.jpg, https://m.media-amazon.com/images/I/419BsfS00iL.jpg",Polyurethane,Down,Suede,Buckle,3 inches,Kitten,Normal
https://www.amazon.co.uk/dp/B072J2RGKK,Clarks Men's Glement Lace Derbys,B072J2RGKK,£50.15 - £68.85,Visit the Clarks Store,"Product Dimensions: 
30 x 19.99 x 10.01 cm; 938.94 Grams


Date First Available: 
17 May 2017


Manufacturer: 
Clarks


ASIN: 
B071F9NWZ2


Item model number: 
261282117


Department: 
Men's","['Shoes', ""Men's Shoes"", 'Lace-ups']","https://m.media-amazon.com/images/I/31gUlLHXN2L.jpg, https://m.media-amazon.com/images/I/51hwH+VekML.jpg, https://m.media-amazon.com/images/I/41K7uUYfo4L.jpg, https://m.media-amazon.com/images/I/31GiA-Wa9JL.jpg, https://m.media-amazon.com/images/I/31oYLJOLNQL.jpg, https://m.media-amazon.com/images/I/318Uyb8Dg8L.jpg, https://m.media-amazon.com/images/I/41FzhZGEHlL.jpg",Leather,Textile,Rubber,Lace-Up,25 millimetres,Flat,Medium
https://www.amazon.co.uk/dp/B08W58H3ZC,ELVIO ZANON Women's Sneakers Zen 1 Elzn EL7201 ELZFRIARA,B08W58H3ZC,£127.59 - £129.36,ELVIO ZANON,"Package Dimensions: 
30 x 30 x 11 cm; 1.99 Kilograms


Date First Available: 
14 Feb. 2021


Manufacturer: 
ELVIO ZANON


ASIN: 
B08W57DRZR


Department: 
Women's","['Shoes', ""Women's Shoes"", 'Fashion & Athletic Trainers', 'Fashion Trainers']","https://m.media-amazon.com/images/I/31TVZ+4EdGL.jpg, https://m.media-amazon.com/images/I/31TVZ+4EdGL.jpg, https://m.media-amazon.com/images/I/41-QHipY4ML.jpg, https://m.media-amazon.com/images/I/312y6ceYrHL.jpg, https://m.media-amazon.com/images/I/31LqrVkvyzL.jpg, https://m.media-amazon.com/images/I/41MripJsX-L.jpg",Leather,Leather,Rubber,Hook & Loop,4 centimetres,Flat,Normale
https://www.amazon.co.uk/dp/B084FRP2TY,SAGUARO Non-Slip Barefoot Shoes for Men Women Breathable Wide Toe Trail Running Shoes,B084FRP2TY,£16.99 - £38.04,Visit the SAGUARO Store,"Product Dimensions: 
28 x 10.5 x 10 cm; 480 Grams


Date First Available: 
20 Feb. 2020


ASIN: 
B084FRWM82


Item model number: 
WSX058-01


Department: 
Unisex","['Shoes', ""Men's Shoes"", 'Fashion & Athletic Trainers', 'Sports & Outdoor Shoes', 'Water Shoes']","https://m.media-amazon.com/images/I/41060HBaSNL.jpg, https://m.media-amazon.com/images/I/41vqm7zs+RL.jpg, https://m.media-amazon.com/images/I/31KESg4CpSL.jpg, https://m.media-amazon.com/images/I/41wvfyoLFDL.jpg, https://m.media-amazon.com/images/I/31FjipDsQHL.jpg, https://m.media-amazon.com/images/I/31pBy0rDPvL.jpg, https://m.media-amazon.com/images/I/61aYP+tl9hL.jpg",Synthetic,Mesh,Rubber,Lace-Up,1 centimetres,Flat,Medium
https://www.amazon.co.uk/dp/B01GXFLAEK,KS® 142 Men Leather Summer Mules Black,B01GXFLAEK,£9.99 - £34.70,Ks,"Is Discontinued By Manufacturer: 
No


Package Dimensions: 
32.4 x 20.4 x 12.4 cm; 840 Grams


Date First Available: 
27 July 2016


ASIN: 
B01GXFLAEK


Department: 
Men's","['Shoes', ""Men's Shoes"", 'Sandals']",https://m.media-amazon.com/images/I/415LSdVZaML.jpg,Leather,Leather,Synthetic,Pull On,2 centimetres,Flat,Normal
https://www.amazon.co.uk/dp/B07Y24RHKH,Gabor Women's Comfort Basic 46.305 Sneaker,B07Y24RHKH,£42.72 - £129.12,Gabor,"Batteries: 
1 Product Specific batteries required.


Package Dimensions: 
31.2 x 20.4 x 11.8 cm; 840 Grams


Date First Available: 
19 Sept. 2019


Manufacturer: 
Gabor Shoes


ASIN: 
B07Y24RHKH


Item model number: 
46.305


Department: 
Girl's","['Shoes', ""Women's Shoes"", 'Fashion & Athletic Trainers', 'Fashion Trainers']","https://m.media-amazon.com/images/I/41xeVhfUYQL.jpg, https://m.media-amazon.com/images/I/41apnrqGUfL.jpg, https://m.media-amazon.com/images/I/413j1KYMLyL.jpg, https://m.media-amazon.com/images/I/31WIZ5yx0DL.jpg, https://m.media-amazon.com/images/I/312UV2SmJiL.jpg, https://m.media-amazon.com/images/I/310dMjwJpyL.jpg, https://m.media-amazon.com/images/I/41pd6t4D54L.jpg",Leather,Leather,Synthetic,Lace-Up,3cm,Flat,Medium
https://www.amazon.co.uk/dp/B0788RH1DF,Silver Street London Men's Leather Argyll Chelsea Boot,B0788RH1DF,£44.99 - £63.83,Visit the Silver Street London Store,"Is Discontinued By Manufacturer: 
No


Package Dimensions: 
35 x 26.9 x 12.8 cm; 1 Kilograms


Date First Available: 
14 Dec. 2017


Manufacturer: 
Superhouse Ltd.


ASIN: 
B0788XQZYZ


Item model number: 
M569BR070


Department: 
Men's","['Shoes', ""Men's Shoes"", 'Boots']",https://m.media-amazon.com/images/I/41oVLzQWS1L.jpg,Leather,PU/textile,Other materials,Slip-On,1 centimetres,Platform,Medium
https://www.amazon.co.uk/dp/B01MXF6BJ5,Teva Men's Winsted S Sports and Outdoor Sandal,B01MXF6BJ5,£29.99 - £93.79,Visit the Teva Store,"Date First Available: 
19 Feb. 2020


Manufacturer: 
Teva


ASIN: 
B07VN7X23H


Item model number: 
1017419


Department: 
Men's","['Shoes', ""Men's Shoes"", 'Fashion & Athletic Trainers', 'Sports & Outdoor Shoes', 'Sports & Outdoor Sandals']","https://m.media-amazon.com/images/I/41hwSnqgZTL.jpg, https://m.media-amazon.com/images/I/51SLkgjTwdL.jpg, https://m.media-amazon.com/images/I/51M4muR1FoL.jpg, https://m.media-amazon.com/images/I/41IhsAsoxoL.jpg, https://m.media-amazon.com/images/I/41jll1FOQDL.jpg, https://m.media-amazon.com/images/I/31zpcKMfyBL.jpg, https://m.media-amazon.com/images/I/410cw7Uf85L.jpg",Synthetic,Textile,Ethylene Vinyl Acetate,Hook & Loop,2 centimetres,Flat,Schmal
https://www.amazon.co.uk/dp/B07XVSWPMS,Skechers Women's Skech-air Element 2.0-Looking Trainers,B07XVSWPMS,£57.41 - £162.50,Visit the Skechers Store,"Product Dimensions: 
30 x 20 x 10 cm; 499 Grams


Date First Available: 
13 Sept. 2019


Manufacturer: 
SKECHERS


ASIN: 
B07XVSYHS7


Item model number: 
149011


Department: 
Women's","['Shoes', ""Women's Shoes"", 'Fashion & Athletic Trainers', 'Fashion Trainers']","https://m.media-amazon.com/images/I/41zU2D7dhfL.jpg, https://m.media-amazon.com/images/I/41F7o0wKTzL.jpg, https://m.media-amazon.com/images/I/41qCgnftxmL.jpg, https://m.media-amazon.com/images/I/31gT+rteM1L.jpg, https://m.media-amazon.com/images/I/41v7UIZNsYL.jpg, https://m.media-amazon.com/images/I/41aY+WmxisL.jpg, https://m.media-amazon.com/images/I/41uIbaaA7kL.jpg",Synthetic,Synthetic,Rubber,Lace-Up,0.01 centimetres,Flat,Medium
https://www.amazon.co.uk/dp/B074RLTGZC,Red Tape Men's Holker Derbys,B074RLTGZC,£19.99 - £46.03,Red Tape,"Product Dimensions: 
34.01 x 19.99 x 12.5 cm; 860 Grams


Date First Available: 
9 Nov. 2017


Manufacturer: 
Red Tape


ASIN: 
B074RKSFMV


Item model number: 
M20135


Department: 
Men's","['Shoes', ""Men's Shoes"", 'Lace-ups']","https://m.media-amazon.com/images/I/41aOdPCBbGL.jpg, https://m.media-amazon.com/images/I/51ZLnsv7KOL.jpg, https://m.media-amazon.com/images/I/41HC0qnXvkL.jpg, https://m.media-amazon.com/images/I/31ju6DffLFL.jpg, https://m.media-amazon.com/images/I/41LDKLU55nL.jpg, https://m.media-amazon.com/images/I/41ddQ+7EY8L.jpg, https://m.media-amazon.com/images/I/411gFtuX5GL.jpg",Leather,Textile,Ethylene Vinyl Acetate,Lace-Up,1 centimetres,Flat,Medium
